Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G??
312,Ronnie Price,PG,32,PHO,62,18,19.5,1.9,4.9,1.1,3.2,0.8,1.7,0.5,0.7,0.4,1.2,1.6,2.4,1.2,0.2,1.1,2.6,5.3
313,Tony Snell,SF,24,CHI,64,33,20.3,2,5.3,0.9,2.4,1.1,2.9,0.5,0.5,0.3,2.8,3.1,1,0.3,0.3,0.8,1.6,5.3
314,Anthony Tolliver,PF,30,DET,72,5,18.6,1.8,4.6,1.4,3.8,0.4,0.8,0.4,0.7,0.5,2.6,3.2,0.7,0.4,0.2,0.4,1.2,5.3
315,Quincy Acy,PF,25,SAC,59,29,14.8,2,3.6,0.3,0.8,1.7,2.8,0.8,1.2,1.1,2.1,3.2,0.5,0.5,0.4,0.5,1.7,5.2
316,Nemanja Bjelica,PF,27,MIN,60,0,17.9,1.8,3.9,0.8,2.1,1,1.8,0.7,0.9,0.8,2.7,3.5,1.4,0.4,0.4,0.8,2.6,5.1
317,Tim Frazier,PG,25,TOT,51,2,14.5,1.9,4.5,0.3,0.9,1.6,3.5,1,1.5,0.5,1.6,2.2,3.2,0.6,0,1.3,1.4,5.1
318,JaVale McGee,C,28,DAL,34,2,10.9,2.3,3.9,0,0,2.3,3.9,0.5,1.1,1.6,2.4,3.9,0.1,0.1,0.8,0.6,1.4,5.1
319,Miles Plumlee,C,27,MIL,61,14,14.3,2.3,3.8,0,0,2.3,3.8,0.6,1,1.5,2.3,3.8,0.3,0.3,0.8,0.7,1.2,5.1
320,JaKarr Sampson,SF,22,TOT,73,40,15.9,1.9,4.3,0.2,0.9,1.7,3.5,1.1,1.7,0.6,2,2.6,0.6,0.3,0.5,1,1.9,5.1
321,Charlie Villanueva,PF,31,DAL,62,4,10.7,2,5.3,0.8,2.8,1.3,2.5,0.4,0.4,0.4,2.1,2.5,0.4,0.3,0.2,0.5,1.1,5.1
322,Alan Anderson,SG,33,WAS,13,0,14.8,1.6,4.5,0.9,2.8,0.7,1.7,0.8,1.2,0.1,2,2.1,1.1,0.3,0.1,0.2,1.9,5
323,James Johnson,PF,28,TOR,57,32,16.2,2,4.2,0.4,1.2,1.6,3.1,0.7,1.2,0.5,1.7,2.2,1.2,0.5,0.6,0.9,1.5,5
324,Cameron Payne,PG,21,OKC,57,1,12.2,2,4.9,0.6,1.9,1.4,2.9,0.3,0.4,0.2,1.3,1.5,1.9,0.6,0.1,0.8,1.4,5
325,Metta World Peace,SF,36,LAL,35,5,16.9,1.6,5.1,0.7,2.4,0.8,2.7,1.1,1.6,0.5,2,2.5,0.8,0.6,0.3,0.4,1.9,5
326,Sasha Vujacic,SG,31,NYK,61,25,14.9,1.7,4.5,0.9,2.3,0.9,2.2,0.5,0.6,0.4,2,2.4,1.4,0.6,0.1,0.7,1.4,4.9
327,Spencer Dinwiddie,PG,22,DET,12,0,13.3,1.6,4.5,0.1,0.8,1.5,3.7,1.6,2.8,0.3,1.1,1.4,1.8,0.3,0,0.6,1.7,4.8
328,Kyle O'Quinn,PF,25,NYK,65,1,11.8,2,4.2,0.1,0.3,1.9,3.8,0.7,0.9,1.2,2.7,3.8,1.1,0.3,0.8,0.9,1.6,4.8
329,Andre Roberson,SG,24,OKC,70,70,22.2,1.9,3.9,0.5,1.5,1.5,2.4,0.5,0.8,1.1,2.5,3.6,0.7,0.8,0.6,0.5,1.9,4.8
330,Chris McCullough,PF,20,BRK,24,4,15.1,1.8,4.5,0.5,1.4,1.3,3.1,0.5,1,1,1.8,2.8,0.4,1.2,0.5,0.6,1.6,4.7
331,Willie Reed,PF,25,BRK,39,2,10.9,1.9,3.4,0,0,1.9,3.4,0.8,1.4,1.3,1.9,3.1,0.3,0.2,0.8,0.4,1.2,4.7
332,Beno Udrih,PG,33,TOT,44,5,16.1,2,4.5,0.3,1,1.6,3.5,0.4,0.5,0.2,1.5,1.6,2.6,0.3,0,1.2,1.2,4.7
333,Kyle Anderson,SF,22,SAS,78,11,16,1.8,3.8,0.2,0.5,1.6,3.3,0.8,1.1,0.3,2.8,3.1,1.6,0.8,0.4,0.8,1.2,4.5
334,Tyler Ennis,PG,21,MIL,46,7,14.2,1.8,4.1,0.3,0.8,1.5,3.2,0.5,0.7,0.3,1.3,1.6,2.1,0.5,0,1,1.4,4.5
335,Alonzo Gee,SF,28,NOP,73,38,22.4,1.8,3.5,0.2,0.8,1.6,2.7,0.6,0.9,0.8,2.5,3.4,1,0.9,0.2,0.8,2.3,4.5
336,Justin Holiday,SG,26,TOT,53,5,14.6,1.7,4.3,0.7,2,1,2.3,0.5,0.7,0.2,1.5,1.7,1.1,0.6,0.4,0.7,1.2,4.5
337,Marcelo Huertas,PG,32,LAL,53,0,16.4,1.8,4.3,0.3,1.2,1.5,3.2,0.5,0.5,0.3,1.4,1.7,3.4,0.5,0.1,1.5,1.4,4.5
338,Jordan McRae,PG,24,TOT,22,1,8.9,1.5,3.5,0.5,1,1.1,2.5,1,1.3,0.2,0.7,0.9,1.1,0.1,0,0.7,0.8,4.5
339,Nikola Pekovic,C,30,MIN,12,3,13,1.6,4.2,0,0,1.6,4.2,1.3,1.7,0.6,1.2,1.8,0.9,0.1,0,0.8,1.8,4.5
