Rk,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G??
49,5,31.0,0.83361096661224,75,28.0,5.6,11.7,M,5.6,H,6.1,2.4,2.7,0.1,1.7,1.9,1.4,0.6,0.1,1.0,1.8,16.3
50,0,22.0,1.0810431969847776,81,32.9,6.8,13.1,L,0.1,H,13.0,2.6,7.2,4.9,9.9,14.8,0.8,1.5,1.4,1.9,3.0,16.2
51,1,27.0,0.9160883767364192,77,31.5,5.3,12.7,M,5.7,H,7.0,3.4,4.1,1.9,8.0,9.9,2.4,0.8,0.5,1.8,2.1,16.0
52,5,23.0,0.7098948514259712,52,33.0,5.9,13.5,L,3.9,H,9.6,2.8,3.4,0.7,4.1,4.8,3.9,1.6,0.8,2.1,2.4,16.0
53,3,27.0,0.9985657868605985,78,28.5,5.5,12.5,L,3.5,H,9.0,3.3,3.9,0.4,2.3,2.7,5.9,1.2,0.3,2.8,2.1,15.7
54,5,23.0,0.9985657868605985,79,32.3,6.0,13.9,L,4.1,H,9.8,2.1,2.6,1.2,2.8,4.0,2.4,1.1,0.1,1.7,2.1,15.5
55,4,23.0,0.9985657868605985,71,32.5,5.4,11.8,M,4.9,H,6.8,2.5,3.0,0.4,2.4,2.8,2.7,1.2,0.0,1.7,2.7,15.4
56,3,28.0,0.05007557043253742,56,31.4,5.3,12.4,L,3.8,H,8.6,3.4,4.1,0.5,2.5,2.9,6.1,1.2,0.3,1.5,1.8,15.3
57,0,25.0,0.9985657868605985,67,29.3,6.2,11.9,L,0.0,H,11.9,2.9,3.9,2.8,6.1,8.8,2.3,0.9,0.8,1.6,2.1,15.3
58,1,34.0,0.5449400311776127,53,29.6,6.3,13.3,L,0.4,H,13.0,2.5,3.2,2.6,5.1,7.8,2.1,0.6,0.2,1.5,2.1,15.3
59,5,29.0,0.5037013261155231,35,28.5,4.2,10.3,L,4.8,M,5.6,5.3,6.3,0.5,2.1,2.5,2.5,0.9,0.3,1.6,1.6,15.3
60,5,25.0,0.8748496716743296,72,33.4,6.0,13.4,M,5.4,H,8.1,1.3,1.6,0.6,2.3,2.9,2.1,1.5,0.3,1.4,2.2,15.2
61,5,26.0,-1.2283242864922406,25,30.6,5.4,12.6,L,3.4,H,9.2,3.0,3.7,0.8,4.4,5.2,6.6,1.3,0.3,2.9,2.6,15.2
62,5,27.0,-0.4035501852504483,44,32.9,5.1,12.3,M,6.5,M,5.7,2.5,2.8,0.2,2.0,2.2,2.7,1.0,0.3,1.6,2.2,15.2
63,0,29.0,1.1222819020468673,82,32.1,6.5,12.8,L,3.1,H,9.7,1.3,1.6,1.8,5.5,7.3,3.2,0.8,1.5,1.3,2.0,15.2
64,1,27.0,0.7511335564880608,73,33.0,6.8,13.2,L,0.4,H,12.8,1.4,2.2,2.4,6.6,9.0,1.8,1.5,0.5,1.9,2.5,15.1
65,4,27.0,0.627417441301792,70,35.0,5.3,12.5,M,5.7,H,6.8,2.3,2.7,0.8,5.3,6.1,5.8,0.9,0.6,2.9,1.6,14.9
